date,close,high,low,open,volume,year,month,day,Negative,Neutral,Positive,positive_ratio,negative_ratio,neutral_ratio,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Volatility
2017-01-20,895.0260009765625,899.3980102539062,887.0079956054688,898.1719970703125,86728400,2017,1,20,7,3,10,0.5,0.35,0.15,911.574545288086,900.770613291924,48.91711047435268,1099.6509653402234,723.4981252359485,94.03821002606874
2017-01-21,921.7890014648438,927.3670043945312,895.5349731445312,895.5490112304688,111158000,2017,1,21,1,1,2,0.5,0.25,0.25,907.7477447509766,902.7723645464878,51.87733610472414,1091.4559329824035,724.0395565195496,91.85409411571352
2017-01-22,924.6729736328124,937.5250244140624,897.5640258789062,922.2050170898438,116573000,2017,1,22,5,3,2,0.2,0.5,0.3,902.8938934326172,904.8581368404234,51.914257549922354,1078.8873557687136,726.900431096521,87.99673116804816
2017-01-23,921.0120239257812,928.2659912109376,916.7379760742188,925.4990234375,73588600,2017,1,23,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,896.7524963378906,906.3966022771242,52.61845570640656,1060.1591285517577,733.3458641240236,81.70331610693354
2017-01-24,892.68701171875,924.14501953125,892.2860107421875,910.677001953125,111349000,2017,1,24,4,1,0,0.0,0.8,0.2,883.6503479003907,905.0909269858504,47.977889814921376,993.064121080972,774.2365747198093,54.70688659029073
2017-01-25,901.5419921875,903.2520141601562,891.68701171875,891.9240112304688,120831000,2017,1,25,4,2,9,0.6,0.2666666666666666,0.1333333333333333,878.058447265625,904.7529331955312,74.79319778221081,969.513314303092,786.6035802281581,45.72743351873343
2017-01-26,917.5859985351562,919.3259887695312,902.2239990234376,902.39501953125,131958000,2017,1,26,5,0,2,0.2857142857142857,0.7142857142857143,0.0,878.8276977539062,905.9751298945432,73.62763493299876,971.3897058984516,786.2656896093608,46.28100407227269
2017-01-27,919.75,923.2230224609376,915.8460083007812,918.3590087890624,125594000,2017,1,27,4,3,2,0.2222222222222222,0.4444444444444444,0.3333333333333333,879.3859466552734,907.2870222855393,71.60629321864548,972.8340454622808,785.9378478482661,46.72404940350367
2017-01-28,921.5900268554688,923.9110107421876,919.8109741210938,919.8109741210938,68979600,2017,1,28,2,0,1,0.3333333333333333,0.6666666666666666,0.0,879.9054992675781,908.649213196961,73.67728991814975,974.2099513588956,785.6010471762606,47.1522260456587
2017-01-29,919.4959716796876,923.4180297851562,919.1480102539062,922.0670166015624,60851700,2017,1,29,7,0,2,0.2222222222222222,0.7777777777777778,0.0,880.7388977050781,909.6822378143636,72.55345985677916,976.1839927214156,785.2938026887406,47.72254750816874
2017-01-30,920.3820190429688,923.0479736328124,919.4739990234376,920.1510009765624,78227296,2017,1,30,8,6,5,0.2631578947368421,0.4210526315789473,0.3157894736842105,881.3740478515625,910.70126459804,71.38421563229554,977.7386275510288,785.0094681520964,48.18228984973309
2017-01-31,970.4030151367188,972.0189819335938,920.958984375,920.958984375,164582000,2017,1,31,0,1,3,0.75,0.0,0.25,891.00634765625,916.3871456017238,67.22136833741284,982.1316776772284,799.8810176352717,45.56266501048911
2017-02-01,989.0230102539062,989.114013671875,970.7420043945312,970.9409790039062,150110000,2017,2,1,7,1,2,0.2,0.7,0.1,900.2157989501953,923.3048469971696,78.6593444135081,991.9000196035926,808.5315782967981,45.8421103266986
2017-02-02,1011.7999877929688,1013.52001953125,983.2210083007812,990.0009765625,145820992,2017,2,2,2,1,0,0.0,0.6666666666666666,0.3333333333333333,909.6065979003906,931.7329556443888,79.82495038376891,1006.727776440634,812.4854193601471,48.56058927012176
2017-02-03,1029.9100341796875,1033.8699951171875,1008.7899780273438,1011.4600219726562,201278000,2017,2,3,4,6,8,0.4444444444444444,0.2222222222222222,0.3333333333333333,920.1815002441406,941.0831536001314,83.21545784167617,1021.4621154853456,818.9008850029356,50.64030762060246
2017-02-04,1042.9000244140625,1045.9000244140625,1015.1599731445312,1031.3299560546875,155064000,2017,2,4,1,0,1,0.5,0.5,0.0,931.2366027832032,950.7799984395534,81.99406839756126,1035.5242478961852,826.948957670221,52.14382255649106
2017-02-05,1027.3399658203125,1043.6300048828125,1022.3699951171876,1043.52001953125,114208000,2017,2,5,0,0,1,1.0,0.0,0.0,941.0269012451172,958.0714239043876,75.41927317721579,1042.6338158559925,839.419986634242,50.8034573054376
2017-02-06,1038.1500244140625,1044.6400146484375,1028.1600341796875,1028.4000244140625,111762000,2017,2,6,7,0,4,0.3636363636363636,0.6363636363636364,0.0,947.5375030517578,965.6979572862616,78.0105451725172,1056.6285807753882,838.4464253281274,54.5455388618152
2017-02-07,1061.3499755859375,1061.9300537109375,1040.1400146484375,1040.1400146484375,146007008,2017,2,7,2,2,1,0.2,0.4,0.4,956.2741027832031,974.807673314802,91.34480038685,1072.5719306305327,839.9762749358736,58.14891392366477
2017-02-08,1063.0699462890625,1078.969970703125,1037.489990234375,1062.3199462890625,201855008,2017,2,8,3,2,4,0.4444444444444444,0.3333333333333333,0.2222222222222222,964.4739501953125,983.2136040742554,91.03106267232756,1086.7620168980286,842.1858834925963,61.14403335135807
2017-02-09,994.3829956054688,1088.989990234375,953.343994140625,1064.699951171875,407220000,2017,2,9,2,0,2,0.5,0.5,0.0,969.4417999267578,984.2773556486568,65.39146747642673,1087.8622873101226,851.0213125433929,59.21024369168245
2017-02-10,988.6740112304688,998.905029296875,946.6909790039062,995.6320190429688,190452000,2017,2,10,1,0,2,0.6666666666666666,0.3333333333333333,0.0,972.7860504150392,984.6960847516864,63.620048210766896,1089.3026990798285,856.2694017502497,58.25832433239472
2017-02-11,1004.4500122070312,1009.2899780273438,982.8300170898438,988.8980102539062,102261000,2017,2,11,3,1,0,0.0,0.75,0.25,976.77490234375,986.577411176005,65.51917133415367,1091.8091162483463,861.7406884391537,57.51710695229817
2017-02-12,999.1810302734376,1004.760009765625,996.9210205078124,1003.52001953125,67530000,2017,2,12,1,2,1,0.25,0.25,0.5,980.6833526611327,987.7777558519508,64.74911724009534,1093.02039302839,868.3463122938755,56.16852018362868
2017-02-13,990.6420288085938,1002.0999755859376,976.0020141601562,998.885009765625,100607000,2017,2,13,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,985.581103515625,988.0505437525836,62.646338017585386,1090.0287337832317,881.1334732480184,52.22381513380334
2017-02-14,1004.5499877929688,1011.510009765625,986.4710083007812,991.7349853515624,137946000,2017,2,14,1,1,0,0.0,0.5,0.5,990.7315032958984,989.6219193754772,57.064649426886845,1087.6155082279354,893.8474983638614,48.442002466018494
2017-02-15,1007.47998046875,1008.8400268554688,1001.5800170898438,1006.2100219726562,89759400,2017,2,15,3,1,1,0.2,0.6,0.2,995.226202392578,991.3226870986462,54.08367289779954,1085.968317812799,904.4840869723575,45.37105771011027
2017-02-16,1027.43994140625,1033.3699951171875,1007.6500244140624,1007.6500244140624,122277000,2017,2,16,2,0,1,0.3333333333333333,0.6666666666666666,0.0,1000.6106994628906,994.7624256041322,53.50407766363644,1085.0573021574248,916.1640967683564,42.22330134726709
2017-02-17,1046.2099609375,1053.1700439453125,1025.6400146484375,1026.1199951171875,136474000,2017,2,17,1,0,3,0.75,0.25,0.0,1006.8416961669922,999.6621908739768,53.64117434683066,1084.8860235251643,928.79736880882,39.02216367908608
2017-02-18,1054.4200439453125,1061.0999755859375,1046.9599609375,1049.2099609375,99073504,2017,2,18,2,1,1,0.25,0.5,0.25,1013.5878997802736,1004.8772244998182,52.629565418980064,1082.650882832002,944.5249167285448,34.531491525864325
